,k,accuracy,precision,recall,f1
89,179,[0.99928149 0.99672681 0.99944116 1.         0.9651924 ],[0.99899554 0.99544039 1.         1.         1.        ],[1.         1.         0.99921796 1.         0.9512958 ],[0.99949752 0.99771499 0.99960883 1.         0.97504007]
90,181,[0.99928149 0.99664697 0.99944116 1.         0.96527223],[0.99899554 0.9953297  1.         1.         1.        ],[1.         1.         0.99921796 1.         0.95140751],[0.99949752 0.99765938 0.99960883 1.         0.97509875]
91,183,[0.99928149 0.99664697 0.99944116 1.         0.9654319 ],[0.99899554 0.9953297  1.         1.         1.        ],[1.         1.         0.99921796 1.         0.95163092],[0.99949752 0.99765938 0.99960883 1.         0.97521607]
92,185,[0.99920166 0.99664697 0.99936133 1.         0.9654319 ],[0.99888405 0.9953297  1.         1.         1.        ],[1.         1.         0.99910625 1.         0.95163092],[0.99944172 0.99765938 0.99955292 1.         0.97521607]
93,187,[0.99912183 0.99664697 0.99936133 1.         0.9654319 ],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99910625 1.         0.95163092],[0.99938585 0.99765938 0.99955292 1.         0.97521607]
94,189,[0.99912183 0.99664697 0.99936133 1.         0.9654319 ],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99910625 1.         0.95163092],[0.99938585 0.99765938 0.99955292 1.         0.97521607]
95,191,[0.99912183 0.99664697 0.99928149 1.         0.9654319 ],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99899453 1.         0.95163092],[0.99938585 0.99765938 0.99949701 1.         0.97521607]
96,193,[0.99912183 0.99664697 0.99928149 1.         0.9654319 ],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99899453 1.         0.95163092],[0.99938585 0.99765938 0.99949701 1.         0.97521607]
97,195,[0.99912183 0.99664697 0.99928149 1.         0.96551174],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99899453 1.         0.95174263],[0.99938585 0.99765938 0.99949701 1.         0.97527473]
98,197,[0.99912183 0.99664697 0.99928149 1.         0.96559157],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99899453 1.         0.95185433],[0.99938585 0.99765938 0.99949701 1.         0.97533337]
99,199,[0.99912183 0.99664697 0.99928149 1.         0.96559157],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99899453 1.         0.95185433],[0.99938585 0.99765938 0.99949701 1.         0.97533337]
100,201,[0.99912183 0.99664697 0.99920166 1.         0.96559157],[0.99888393 0.9953297  1.         1.         1.        ],[0.99988828 1.         0.99888281 1.         0.95185433],[0.99938585 0.99765938 0.99944109 1.         0.97533337]
101,203,[0.99904199 0.99656714 0.99904199 1.         0.96559157],[0.99877246 0.99521903 1.         1.         1.        ],[0.99988828 1.         0.99865937 1.         0.95185433],[0.99933006 0.99760379 0.99932923 1.         0.97533337]
102,205,[0.99896216 0.99640747 0.99880249 1.         0.96559157],[0.99866101 0.99499778 1.         1.         1.        ],[0.99988828 1.         0.99832421 1.         0.95185433],[0.99927427 0.99749262 0.9991614  1.         0.97533337]
103,207,[0.99880249 0.99640747 0.99880249 1.         0.96559157],[0.99854943 0.99499778 1.         1.         1.        ],[0.99977656 1.         0.99832421 1.         0.95185433],[0.99916262 0.99749262 0.9991614  1.         0.97533337]
